video_path,class_label
split-videos/train\Khairo\20241008_093956_noise.mp4,Khairo
split-videos/train\Sungur\20241003_090102_brightness.mp4,Sungur
split-videos/train\Naadi\20241014_094041_rotate.mp4,Naadi
split-videos/train\Hariyo\20241006_090638_flip.mp4,Hariyo
split-videos/train\Guy\20241003_115910_color_jitter.mp4,Guy
split-videos/train\Sungur\20241003_091511_slow_down.mp4,Sungur
split-videos/train\Sungur\20241003_121315_slow_down.mp4,Sungur
split-videos/train\Gundruk\20241003_114656_slow_down.mp4,Gundruk
split-videos/train\Mahina\20241003_120819_noise.mp4,Mahina
split-videos/train\Amilo\20241002_112728_speed_up.mp4,Amilo
split-videos/train\Shau\Dataset01 (16)_speed_up.mp4,Shau
split-videos/train\Hathi\20241014_094105_rotate.mp4,Hathi
split-videos/train\Falful\20241002_111951_rotate.mp4,Falful
split-videos/train\Hariyo\20241003_085630_rotate.mp4,Hariyo
split-videos/train\Shau\20241002_104457_slow_down.mp4,Shau
split-videos/train\Hathi\20241002_104939_slow_down.mp4,Hathi
split-videos/train\Naadi\20241014_093021_brightness.mp4,Naadi
split-videos/train\Kharayo\20241003_091523_flip.mp4,Kharayo
split-videos/train\Jestha\dataset 03 (20)_rotate.mp4,Jestha
split-videos/train\Mahina\20241006_093732_brightness.mp4,Mahina
split-videos/train\Kharayo\dataset 03 (17)_flip.mp4,Kharayo
split-videos/train\Khairo\20241002_111802_speed_up.mp4,Khairo
split-videos/train\Hariyo\20241003_091247_flip.mp4,Hariyo
split-videos/train\Falful\dataset 03 (8)_rotate.mp4,Falful
split-videos/train\Khairo\20241002_104443_color_jitter.mp4,Khairo
split-videos/train\Ghar\20241008_094242_noise.mp4,Ghar
split-videos/train\Amilo\20241014_092627_slow_down.mp4,Amilo
split-videos/train\Jestha\20241014_092519_brightness.mp4,Jestha
split-videos/train\Falful\Dataset01 (15)_noise.mp4,Falful
split-videos/train\Sungur\20241002_112442_brightness.mp4,Sungur
split-videos/train\Mahina\20241008_091425_rotate.mp4,Mahina
split-videos/train\Sungur\20241003_115932_flip.mp4,Sungur
split-videos/train\Baisakh\Dataset01 (8)_color_jitter.mp4,Baisakh
split-videos/train\Shau\20241008_094017_noise.mp4,Shau
split-videos/train\Kera\20241003_121106_brightness.mp4,Kera
